,,,Q_4530,Q_4541,Q_4539,Q_4531,Q_4542,Q_4540,Q_4532,Q_4533,Q_4534,Q_4535,Q_4536,Q_4537,Q_5305,Q_5296,Q_4538,Q_4543,Q_4544,Q_4994,Q_4545,Q_4546,Q_4547,Q_4548,Q_4549,Q_4550,"External ID"
,,,sleepy_now,feel_then1,stress_whynot,mood_now,feel_now1,stress_whynot2,where_now,who_now,wellbeing_intro,doing_now,enjoy_now,N/A,stress_intro,stressor_type,N/A,N/A,dotmemory_UUID,colornaming_UUID,symbolsearch_UUID,shoppinglist_UUID,N/A,distract_now,distract_what,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","The next several questions ask about STRESSFUL experiences that may have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","While you were playing the brain games...","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","End Block"
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,21.25,25.78,3,N/A,N/A,24.50,6,N/A,NA,1,82.15,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,81.87,N/A,3,20.40,N/A,23.94,6,3,NA,2,78.47,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,17.85,81.16,3,83.29,81.87,25.50,6,4,NA,3,79.04,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,20.40,76.77,3,76.91,N/A,22.52,6,3,NA,6,81.87,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 14:58:48","2022-01-18 14:58:48",frug-xl3j7,19.69,72.80,"3,4",78.47,23.94,21.81,6,"4,3",NA,"1,2,3",21.67,NA,N/A,1,N/A,NA,FF2AC76E-D4C3-4783-9F1D-C98A0585BE69,0321726E-76CF-4812-95C2-EBB1F5C9DAAE,77B46C5A-28CA-4964-9969-BF821FE5DB19,189C50A4-343A-4020-9F41-9E7D7EF5E83B,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-18 14:58:51","2022-01-18 14:58:48",idol-pp00v,76.00,19.00,N/A,25.00,84.00,N/A,8,"3,4",N/A,"6,5,4",82.00,N/A,N/A,4,N/A,N/A,c476a472-9582-4ea5-a101-99287264a6de,22d1ca4b-0e3b-4473-a039-fa0bef0b8ad1,11c73ea3-4967-40bf-aea2-86ee2c8d5e16,2fbc80c1-ebaa-477b-be90-c422a21b45a0,N/A,2,N/A,N/A,Android_18Jan2022
"2022-01-18 19:02:30","2022-01-18 18:51:25",idol-pp00v,20.00,84.00,N/A,22.00,24.00,N/A,5,1,N/A,"4,5",89.00,N/A,N/A,5,N/A,N/A,534d35e0-9345-4a78-9cdc-275f25f1d9d8,7fc92cd8-c31d-40bc-81c4-495e7e05555c,b90bb094-ea26-4bf4-a877-36d38830d86b,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022
"2022-01-18 19:23:06","2022-01-18 19:23:05",frug-xl3j7,15.86,85.55,1,88.24,21.95,12.89,4,"6,5,4",NA,"1,2",83.00,NA,N/A,5,N/A,NA,41F6C204-13B3-4A2B-B73D-86BD0B11F9CB,D71C6E36-61BD-4EFC-B44F-35DB442664C1,8BC0C795-1435-4F99-9FA6-96919516D03B,5FCC5BC1-8791-4AED-BB9E-5E9AB3CED5C9,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,20.11,N/A,N/A,75.64,N/A,N/A,5,2,NA,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 11:29:14","2022-01-19 11:29:14",frug-xl3j7,N/A,N/A,2,22.10,N/A,N/A,5,5,NA,2,84.56,NA,N/A,5,N/A,N/A,N/A,7BA17FD6-BF8A-436A-8446-7A252C79D6DE,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 11:29:15","2022-01-19 11:29:14",frug-xl3j7,17.85,21.53,"6,5",83.85,75.21,81.73,6,"2,4",NA,5,21.53,NA,N/A,3,N/A,NA,423E3E95-72F6-4E9B-966A-A5BE854855FD,33E719AA-451B-48B3-ABD3-2061161F75A8,9C78D3A5-975D-4611-9704-B6D143E080E8,3854EFFF-22B5-4F88-AD56-57407F83E8DC,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 19:13:51","2022-01-19 19:13:49",idol-pp00v,26.00,83.00,N/A,80.00,20.00,N/A,6,"5,6,7,8",N/A,2,17.00,N/A,N/A,6,N/A,N/A,b9fa1555-026f-4cc2-b7f9-d10efbf1103f,89301a08-a5d5-48b6-8688-346daa8592a4,fab9f983-f9bb-4f86-a317-66229ec5c85a,46c6d583-9147-487e-ac5a-6a37de77b67d,N/A,2,N/A,N/A,Android_18Jan2022
"2022-01-19 20:14:24","2022-01-19 20:14:23",fend-6lh42,24.00,N/A,N/A,83.00,N/A,N/A,6,"3,5",N/A,"3,1",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a
"2022-01-19 20:14:24","2022-01-19 18:44:32",fend-6lh42,16.00,N/A,N/A,80.00,N/A,N/A,5,5,N/A,4,25.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a
"2022-01-20 07:20:32","2022-01-19 19:17:49",idol-pp00v,20.00,77.00,N/A,82.00,25.00,N/A,5,"6,5",N/A,3,24.00,N/A,N/A,4,N/A,N/A,ecc0b238-7789-43fe-8b2f-aef078da8b9d,6396133a-7d62-45c5-9fdd-97e1a2a1f44c,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,24.08,80.88,1,74.65,22.52,21.10,6,3,NA,3,17.42,NA,N/A,1,N/A,NA,DF5CC609-B1A0-4D4B-A574-620A8A254587,CECF00AE-A353-492D-AECB-D5731F4CF746,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,19.55,N/A,N/A,83.71,N/A,N/A,6,4,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,19.97,N/A,N/A,76.77,N/A,N/A,6,"3,5",NA,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,20.40,N/A,N/A,83.71,N/A,N/A,6,2,NA,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-20 19:55:11","2022-01-20 19:55:10",fend-6lh42,79.00,N/A,N/A,24.00,N/A,N/A,4,"5,6,7",N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a
"2022-01-20 21:01:10","2022-01-20 21:01:10",along-p98t6,81.00,21.00,N/A,23.00,61.00,N/A,8,"7,8",N/A,"8,9",24.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10e_20Jan2022
"2022-01-21 18:36:43","2022-01-21 18:36:41",axon-wl690,84.00,N/A,"1,4",24.00,N/A,51.00,1,1,N/A,"3,4,5",34.00,N/A,N/A,1,N/A,N/A,7e310f3d-0821-45ed-a9fe-17e5afa8bc51,a0f6df03-c694-4b0b-ac54-278a5ff65407,356ffec6-f725-4c4e-b551-e373b99335e1,b20ef877-f3a0-48fd-9c64-61b343e6ef79,N/A,1,3,N/A,21Jan2022
"2022-01-22 20:24:36","2022-01-22 20:24:34",bevy-qy3l1,88.00,82.00,N/A,18.00,21.00,N/A,6,"3,6",N/A,"3,5",20.00,N/A,N/A,4,N/A,N/A,338bbe4d-a8e7-4675-8cbc-6dd0665d17ae,10d72147-602f-4039-a9da-e4e524756b61,f127be58-69e9-42c0-ba10-4f923caebfc7,86cd4b4b-260c-4836-b2cf-cdcd87dec35c,N/A,1,"5,4,3,2,1",N/A,Start22Jan2022_S10e
"2022-01-22 20:30:46","2022-01-22 20:30:46",lobo-at8n4,77.00,85.00,N/A,25.00,26.00,N/A,6,"4,6",N/A,5,20.00,N/A,N/A,4,N/A,N/A,8d67b292-9c5b-4829-a93c-55fb89550ae9,85479218-7faf-4d85-ac71-6e4608c0ba93,1b913126-e9a8-411e-8a13-9b7b44a9e80f,20e9e98c-9a4f-45b9-99b9-af90ef2b3173,N/A,2,N/A,N/A,MiA2_22Jan2022_4
