,,,,Q_4509,Q_4520,Q_4518,Q_4510,Q_4521,Q_4519,Q_4511,Q_4512,Q_4513,Q_4514,Q_4515,Q_4516,Q_5304,Q_5294,Q_4517,Q_4522,Q_4523,Q_4993,Q_4524,Q_4525,Q_4526,Q_4527,Q_4528,Q_4529,"External ID","Alert Times",Model,OS
,,,,sleepy_now,feel_then1,stress_whynot,mood_now,feel_now1,stress_whynot2,where_now,who_now,wellbeing_intro,doing_now,enjoy_now,N/A,stress_intro,stressor_type,N/A,N/A,dotmemory_UUID,colornaming_UUID,symbolsearch_UUID,shoppinglist_UUID,N/A,distract_now,distract_what,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","Survey Name","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","The next several questions ask about STRESSFUL experiences that may have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","While you were playing the brain games...","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","End Block"
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,,N/A,N/A
"2022-01-18 12:23:37","2022-01-18 12:23:36",frug-xl3j7,"Beeped Survey 2",13.17,23.65,N/A,85.69,87.54,N/A,6,2,NA,4,88.10,NA,N/A,5,N/A,NA,E9D70864-1F9E-4361-B37C-C17AEB4D4315,3E737716-544F-45BE-B48F-F8FB984AF90F,9899AC85-B8B3-41DE-823A-A589A662D66C,8B71FD1A-CA7E-4FF5-8EE7-751F85102A3E,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-18 12:29:36","2022-01-18 12:29:33",idol-pp00v,"Beeped Survey 2",21.00,16.00,N/A,79.00,84.00,N/A,7,"4,6,7",N/A,"4,5",80.00,N/A,N/A,6,N/A,N/A,a9b478fb-6786-432b-80f8-f57e65c82ff1,04f8b1b2-7729-42b4-9d8c-f8db1d8479a7,e0a35be4-aeb8-4e78-888d-57d9de480824,802abb23-b1e1-437a-957f-7f5111fb5e5e,N/A,1,4,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 11:29:15","2022-01-19 11:29:14",frug-xl3j7,"Beeped Survey 2",24.08,76.77,N/A,80.17,31.30,N/A,6,"3,4",NA,4,25.35,NA,N/A,5,N/A,NA,N/A,29584AEF-7D95-4530-95F4-CF0B3792AA67,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-19 11:29:15","2022-01-19 11:29:14",frug-xl3j7,"Beeped Survey 2",82.72,82.44,N/A,19.97,50.00,N/A,5,"4,5",NA,"2,4",76.49,NA,N/A,6,N/A,NA,ADA697DC-0637-4A58-9D08-EA4C9E49B046,4CC4C3B1-8AFA-43FA-802C-FFA04EC28A05,A90A144F-3AC8-4477-9DBD-98307C0F53B4,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-19 14:22:08","2022-01-19 14:22:07",sohs-ff5yv,"Beeped Survey 2",18.74,24.25,3,78.90,68.03,76.22,4,2,NA,5,16.22,NA,N/A,4,N/A,NA,BEF8B323-F1DF-4977-82F4-2903C3ED89CE,5561DE12-247F-475D-B47B-E41A19557CBF,31C17517-8566-4D65-91A6-A074DAE82418,162BEEB0-83FA-416E-A030-A16B5B597B3B,NA,2,N/A,N/A,iPhone7_checkIntake,,N/A,N/A
"2022-01-19 15:25:11","2022-01-19 15:25:10",fend-6lh42,"Beeped Survey 2",84.00,N/A,N/A,24.00,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-19 18:40:17","2022-01-19 18:39:56",idol-pp00v,"Beeped Survey 2",78.00,75.00,N/A,19.00,20.00,N/A,5,"5,7",N/A,"2,1",82.00,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 18:41:18","2022-01-19 18:41:18",idol-pp00v,"Beeped Survey 2",17.00,N/A,N/A,85.00,N/A,N/A,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-20 10:01:23","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 2",82.15,N/A,N/A,16.57,N/A,N/A,6,4,NA,6,80.74,NA,N/A,5,N/A,N/A,D50EB15E-136D-4F83-BF7E-52CF03892BC7,571F7095-B261-4E71-A003-5ED4D5843B6B,7C556169-E418-40F8-BAAB-D21E18B27BD2,847DAAAD-FEB0-45B0-9D8E-73DF4623D6CE,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-20 10:01:24","2022-01-20 10:01:23",frug-xl3j7,"Beeped Survey 2",90.79,N/A,N/A,20.25,N/A,N/A,4,"2,3,4,5,6,7,8,9,10",NA,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-20 13:21:18","2022-01-20 13:21:18",clary-sp0jp,"Beeped Survey 2",71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,F0F93FA7-362F-43E3-9B90-5960A8F89162,255D19F3-8F8F-4C39-A063-4AD565FDD792,CFFD1194-5F1B-44EE-AC10-6D9F94D7C3CB,C64AE704-B1BB-40AB-9CF1-3C1591FED71B,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2,67,NA,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,NA,N/A,6BC6BFFD-93FA-489C-93F1-D4A70FCAF7C0,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:50","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",71,70,1,72,68,68,1,1,NA,1,65,NA,N/A,N/A,1,NA,N/A,9301A443-1AAB-4227-9A11-755F31C7B394,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 13:25:51","2022-01-20 13:25:49",clary-sp0jp,"Beeped Survey 2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j,,N/A,N/A
"2022-01-20 15:21:11","2022-01-20 15:21:10",fend-6lh42,"Beeped Survey 2",82.00,N/A,N/A,16.00,N/A,N/A,5,"7,5",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-20 21:01:11","2022-01-20 11:27:37",along-p98t6,"Beeped Survey 2",19.00,17.00,N/A,76.00,81.00,N/A,5,"8,5",N/A,"4,3",78.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10e_20Jan2022,,SM-G970U,11
"2022-01-22 16:43:46","2022-01-22 16:43:44",bevy-qy3l1,"Beeped Survey 2",18.00,82.00,N/A,86.00,20.00,N/A,6,"4,5",N/A,"4,5,7,6",21.00,N/A,N/A,4,N/A,N/A,45283afa-4472-4137-a732-35e33de47831,b2508837-71cc-4b0c-8352-5995d7ce98ed,72019270-e966-4ecb-90ca-55665b377b4a,N/A,N/A,N/A,N/A,N/A,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 18:55:57","2022-01-24 18:55:56",soba-in7ah,"Beeped Survey 2",22,N/A,4,90,N/A,N/A,5,4,NA,1,20,N/A,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,StickyScreenTest,"2022-01-24 17:51:06","iPhone13,3","iOS 15.2.1"
"2022-01-25 13:20:44","2022-01-25 13:20:43",feyer-hf3s4,"Beeped Survey 2",20,24,N/A,85,N/A,N/A,4,1,NA,2,76,N/A,NA,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,iOS7_24Jan,,"iPhone9,1","iOS 15.2.1"
"2022-01-25 13:20:44","2022-01-25 13:20:43",feyer-hf3s4,"Beeped Survey 2",79,82,N/A,16,9,N/A,4,3,NA,4,75,N/A,NA,4,N/A,NA,5398EDBC-3AA5-4CD7-A876-EF4BE348698D,B720EF70-BB98-4079-B801-9ED17E79FB91,808BDD67-981E-4B0B-8E46-97409991FB28,EF02743C-F4B2-45AB-B303-C0C94541313E,NA,1,4,N/A,iOS7_24Jan,"2022-01-25 12:35:00","iPhone9,1","iOS 15.2.1"
"2022-01-26 07:01:38","2022-01-26 07:01:37",escar-vi0z3,"Beeped Survey 2",8,77,N/A,87,22,N/A,6,"2,5",NA,5,10,N/A,NA,4,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24Jan2022_iOS,"2022-01-25 12:58:00","iPhone11,8","iOS 15.1"
