,,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID","Alert Times",Model,OS
,,,,info_sleep_quality,sleep_fall,sleep_quality,sleep_trouble,sleep_refresh,info_pleasant_expect,stress_today,uplift_today
"Survey Date Submitted","Survey Date Completed","Participant ID","Survey Name","The following questions ask about your sleep last night.","How difficult was it to fall asleep?","How was the quality of your sleep?","Did you have trouble staying asleep?","Did you feel refreshed when you woke up?","The next questions ask about how you expect your day will be.","Overall, how stressful do you expect today will be?","Overall, how pleasant do you expect today will be?"
"2022-01-18 08:03:16","2022-01-18 08:03:16",curdy-ls0rn,"Waking Survey",NA,19.83,85.41,20.82,81.59,NA,77.20,0.00,tired_iOS,N/A,N/A,N/A
"2022-01-18 08:04:48","2022-01-18 08:04:47",gush-wv4rx,"Waking Survey",N/A,12.00,85.00,14.00,25.00,N/A,89.00,90.00,no_scheduler_check,N/A,N/A,N/A
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,"Waking Survey",NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-18 09:01:57","2022-01-18 09:01:56",frug-xl3j7,"Waking Survey",NA,17.42,74.22,22.10,69.83,NA,26.20,72.24,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-18 19:02:29","2022-01-18 19:02:27",idol-pp00v,"Waking Survey",N/A,N/A,N/A,N/A,26.00,N/A,96.00,19.00,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 06:38:14","2022-01-19 06:38:13",idol-pp00v,"Waking Survey",N/A,85.00,23.00,85.00,27.00,N/A,82.00,96.00,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,"Waking Survey",NA,15.44,80.31,15.01,88.24,NA,13.74,82.44,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 07:31:28","2022-01-19 07:31:28",char-w1s9d,"Waking Survey",NA,19.84,74.65,20.31,100.00,NA,22.05,77.32,"iOS_15Nov2021, iOS_19Jan2022",N/A,N/A,N/A
"2022-01-19 08:23:42","2022-01-19 08:23:42",ajuga-l8j90,"Waking Survey",NA,81.26,9.13,80.79,11.65,NA,49.92,17.01,iPhone7_19Jan2022,N/A,N/A,N/A
"2022-01-19 08:26:02","2022-01-19 08:26:01",fend-6lh42,"Waking Survey",N/A,20.00,73.00,12.00,68.00,N/A,22.00,66.00,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-19 10:28:54","2022-01-19 10:28:54",mics-f70o4,"Waking Survey",NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-20 07:24:36","2022-01-20 07:24:35",fend-6lh42,"Waking Survey",N/A,23.00,82.00,27.00,81.00,N/A,25.00,79.00,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-20 08:01:03","2022-01-20 08:01:03",dream-v3c9d,"Waking Survey",N/A,32.00,76.00,30.00,75.00,N/A,N/A,N/A,MiA2_20Jan2022,N/A,"Mi A2",8.1.0
"2022-01-20 11:02:35","2022-01-20 11:02:34",frug-xl3j7,"Waking Survey",NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-20 11:11:31","2022-01-20 11:11:30",along-p98t6,"Waking Survey",N/A,20.00,84.00,28.00,18.00,N/A,82.00,20.00,S10e_20Jan2022,N/A,SM-G970U,11
"2022-01-20 12:23:24","2022-01-20 12:23:23",frug-xl3j7,"Waking Survey",NA,25.50,74.65,27.05,74.79,NA,22.52,78.75,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-22 08:04:54","2022-01-22 08:04:54",dodgy-mq82w,"Waking Survey",NA,84.28,21.67,84.70,21.39,NA,83.00,21.25,22Jan2022iOS,N/A,N/A,N/A
"2022-01-22 09:09:07","2022-01-22 09:09:06",bevy-qy3l1,"Waking Survey",N/A,0.00,100.00,N/A,50.00,N/A,0.00,100.00,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-22 10:17:54","2022-01-22 10:17:55",lobo-at8n4,"Waking Survey",N/A,25.00,70.00,34.00,70.00,N/A,29.00,100.00,MiA2_22Jan2022_4,N/A,"Mi A2",8.1.0
"2022-01-24 07:25:24","2022-01-24 07:25:24",escar-vi0z3,"Waking Survey",NA,84,25,85,88,NA,17,N/A,24Jan2022_iOS,"2022-01-24 07:00:00","iPhone11,8","iOS 15.1"
"2022-01-24 08:41:55","2022-01-24 08:41:54",bevy-qy3l1,"Waking Survey",N/A,22.00,86.00,20.00,24.00,N/A,87.00,23.00,Start22Jan2022_S10e,N/A,SM-G970U,11
"2022-01-24 11:23:55","2022-01-24 11:23:55",besom-sx3mn,"Waking Survey",N/A,23.00,91.00,12.00,92.00,N/A,97.00,12.00,24Jan2022-test,N/A,SM-G970U,11
"2022-01-24 17:44:05","2022-01-24 17:44:05",ares-o6g3x,"Waking Survey",NA,50,20,N/A,50,NA,86,23,iPhone12Pro,"2022-01-24 12:00:00","iPhone13,3","iOS 15.2.1"
"2022-01-24 17:56:01","2022-01-24 17:56:03",roms-cr4x1,"Waking Survey",N/A,24.00,82.00,85.00,37.00,N/A,33.00,95.00,MiA2_24Jan,N/A,"Mi A2",8.1.0
"2022-01-25 00:23:07","2022-01-25 08:05:09",chiao-af8ic,"Waking Survey",N/A,17.00,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-01-25 00:43:00","2022-01-25 09:00:13",chiao-af8ic,"Waking Survey",N/A,84.00,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-01-25 06:43:47","2022-01-25 06:43:47",besom-sx3mn,"Waking Survey",N/A,74.00,21.00,19.00,84.00,N/A,55.00,65.00,24Jan2022-test,N/A,SM-G970U,11
"2022-01-25 07:09:01","2022-01-25 07:09:00",feyer-hf3s4,"Waking Survey",NA,29,85,87,23,NA,50,50,iOS7_24Jan,"2022-01-25 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-25 07:17:59","2022-01-25 07:17:59",escar-vi0z3,"Waking Survey",NA,18,79,20,89,NA,69,70,24Jan2022_iOS,"2022-01-25 07:00:00","iPhone11,8","iOS 15.1"
"2022-01-25 08:04:19","2022-01-25 08:04:18",para-on4v1,"Waking Survey",N/A,50.00,100.00,0.00,N/A,N/A,65.00,71.00,MiA4_25Jan,N/A,"Mi A2",8.1.0
"2022-01-25 12:51:55","2022-01-25 12:51:55",cloot-uw4kz,"Waking Survey",NA,16,75,15,17,NA,50,50,iOS12_25Jan2022,"2022-01-25 08:00:00","iPhone13,2","iOS 15.2.1"
"2022-01-25 13:03:21","2022-01-25 13:03:21",soba-in7ah,"Waking Survey",NA,55,62,57,64,NA,32,70,StickyScreenTest,"2022-01-25 12:00:00","iPhone13,3","iOS 15.2.1"
"2022-01-25 13:19:12","2022-01-25 13:19:12",reap-hk0yc,"Waking Survey",NA,5,88,14,59,NA,9,78,Jen_25Jan2022,"2022-01-25 09:00:00","iPhone13,4","iOS 15.1.1"
"2022-01-26 06:41:14","2022-01-26 06:41:14",sumo-1wi4e,"Waking Survey",N/A,85.00,24.00,83.00,38.00,N/A,63.00,63.00,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-26 07:01:17","2022-01-26 07:01:15",limo-f8i9a,"Waking Survey",N/A,26.00,21.00,21.00,25.00,N/A,21.00,23.00,Mi20_25Jan,N/A,"Mi A2",8.1.0
"2022-01-26 07:01:38","2022-01-26 07:01:37",escar-vi0z3,"Waking Survey",NA,12,13,92,15,NA,82,18,24Jan2022_iOS,"2022-01-26 07:00:00","iPhone11,8","iOS 15.1"
"2022-01-26 07:01:55","2022-01-26 07:01:54",feyer-hf3s4,"Waking Survey",NA,6,83,20,12,NA,82,12,iOS7_24Jan,"2022-01-26 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-26 13:36:58","2022-01-26 11:12:06",benny-yq5b5,"Waking Survey",N/A,73.00,N/A,N/A,N/A,N/A,N/A,N/A,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-27 06:42:05","2022-01-27 06:42:04",sumo-1wi4e,"Waking Survey",N/A,26.00,81.00,23.00,85.00,N/A,50.00,60.00,DataUploadTest_25Jan,N/A,SM-G970U,11
"2022-01-27 08:07:09","2022-01-27 08:07:08",feyer-hf3s4,"Waking Survey",NA,15,86,16,83,NA,16,80,iOS7_24Jan,"2022-01-27 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-27 09:04:10","2022-01-27 08:00:18",math-yw88g,"Waking Survey",N/A,76.00,24.00,71.00,N/A,N/A,N/A,N/A,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-27 11:23:14","2022-01-27 11:23:13",benny-yq5b5,"Waking Survey",N/A,50.00,24.00,50.00,77.00,N/A,20.00,76.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-28 07:26:12","2022-01-28 07:26:10",benny-yq5b5,"Waking Survey",N/A,86.00,16.00,18.00,85.00,N/A,85.00,84.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-28 07:26:45","2022-01-28 07:26:45",math-yw88g,"Waking Survey",N/A,83.00,21.00,75.00,12.00,N/A,80.00,15.00,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:00:51","2022-01-29 08:00:47",math-yw88g,"Waking Survey",N/A,10.00,85.00,73.00,19.00,N/A,82.00,15.00,MiA4_26Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:01:28","2022-01-29 08:01:27",benny-yq5b5,"Waking Survey",N/A,87.00,15.00,100.00,20.00,N/A,79.00,50.00,Mi6_25Jan,N/A,"Mi A2",8.1.0
"2022-01-29 08:04:36","2022-01-29 08:04:36",feyer-hf3s4,"Waking Survey",NA,6,76,18,24,NA,50,74,iOS7_24Jan,"2022-01-29 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-30 07:53:29","2022-01-30 07:53:29",feyer-hf3s4,"Waking Survey",NA,76,17,85,81,NA,12,85,iOS7_24Jan,"2022-01-30 07:00:00","iPhone9,1","iOS 15.2.1"
"2022-01-30 08:41:28","2022-01-30 07:04:34",airer-jc0sm,"Waking Survey",N/A,69.00,N/A,N/A,N/A,N/A,N/A,N/A,29Jan_S10e,N/A,SM-G970U,11
"2022-01-31 07:53:40","2022-01-31 07:53:39",airer-jc0sm,"Waking Survey",N/A,17.00,86.00,89.00,25.00,N/A,31.00,37.00,29Jan_S10e,N/A,SM-G970U,11
"2022-02-01 07:20:16","2022-02-01 07:20:16",canny-ag2b9,"Waking Survey",N/A,20.00,85.00,87.00,20.00,N/A,21.00,85.00,9999,N/A,SM-G970U,11
"2022-02-02 11:29:25","2022-02-02 09:29:25",amido-5q6w6,"Waking Survey",NA,36,73,34,44,NA,54,53,00000,"2022-02-02 08:00:00","iPhone11,6","iOS 15.2.1"
"2022-02-02 12:45:36","2022-02-02 09:45:36",dumpy-xw5sz,"Waking Survey",NA,8,64,7,68,NA,29,75,0013,"2022-02-02 08:00:00","iPhone11,8","iOS 15.2.1"
"2022-02-03 12:28:14","2022-02-03 09:28:13",bank-ly7om,"Waking Survey",NA,79,16,52,21,NA,58,59,9999_ucr,"2022-02-03 08:00:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 08:59:42","2022-02-04 08:59:43",cars-n8r51,"Waking Survey",N/A,21.00,84.00,22.00,25.00,N/A,85.00,19.00,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 08:59:42","2022-02-04 08:59:08",cars-n8r51,"Waking Survey",N/A,82.00,21.00,25.00,75.00,N/A,25.00,N/A,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-04 12:40:34","2022-02-04 09:40:33",bank-ly7om,"Waking Survey",NA,46,50,72,65,NA,60,61,9999_ucr,"2022-02-04 08:00:00","iPhone12,3","iOS 15.2.1"
"2022-02-04 15:46:36","2022-02-04 15:46:36",cars-n8r51,"Waking Survey",N/A,25.00,77.00,23.00,19.00,N/A,70.00,72.00,UploadTest_4Feb2022,N/A,SM-G970U,11
"2022-02-06 08:19:15","2022-02-06 08:02:03",drank-as4nj,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 08:19:15","2022-02-06 08:19:13",drank-as4nj,"Waking Survey",N/A,83.00,N/A,14.00,50.00,N/A,30.00,100.00,UploadCheck,N/A,"Mi A2",8.1.0
"2022-02-06 08:24:24","2022-02-06 08:24:24",ephod-cs5i9,"Waking Survey",NA,24,0,N/A,50,NA,80,100,UploadCheck_iOS,"2022-02-06 08:00:00","iPhone11,8","iOS 15.1"
"2022-02-06 09:38:27","2022-02-06 09:38:28",fezzy-w56m0,"Waking Survey",N/A,28.00,30.00,71.00,28.00,N/A,69.00,26.00,S10e_06Feb2022,N/A,SM-G970U,11
"2022-02-08 02:44:19","2022-02-08 08:01:17",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 08:00:22",SM-G950U,9
"2022-02-08 02:47:53","2022-02-08 08:10:21",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 08:00:22",SM-G950U,9
"2022-02-08 02:48:26","2022-02-08 08:10:58",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 11:25:43","2022-02-08 09:01:49",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-08 09:01:16",SM-G950U,9
"2022-02-08 11:25:44","2022-02-09 08:00:31",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test","2022-02-09 08:00:13",SM-G950U,9
"2022-02-08 11:56:33","2022-02-08 11:56:21",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 12:04:20","2022-02-08 12:04:19",allee-vc51p,"Waking Survey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"test, test",N/A,SM-G950U,9
"2022-02-08 15:49:11","2022-02-08 15:49:11",osar-9on4i,"Waking Survey",NA,50,50,50,50,NA,50,50,iOS_Update_08Feb,"2022-02-08 08:00:00","iPhone11,8","iOS 15.1"
"2022-02-09 13:02:00","2022-02-09 10:01:59",bulky-uw0ou,"Waking Survey",NA,21,45,16,31,NA,55,41,9999_ucr,"2022-02-09 10:00:00","iPhone12,1","iOS 14.8.1"
